91
3,16,98
14,18,71
12,6,66
20,2,100
9,8,16
2,13,54
19,10,81
16,14,35
12,6,74
11,6,73
13,20,10
11,19,16
20,8,2
10,16,25
4,9,15
6,2,43
19,13,8
10,1,80
10,2,6
19,1,11
10,11,45
12,6,7
1,9,23
13,18,57
12,11,65
10,7,67
8,13,70
7,5,85
17,1,95
7,14,86
1,4,45
9,18,26
14,2,20
12,19,68
7,11,26
16,12,20
3,15,53
16,17,57
3,14,59
7,19,56
8,14,68
13,4,29
14,1,33
9,19,77
4,7,14
12,14,94
1,10,37
13,17,25
12,7,37
1,17,93
3,4,8
16,6,18
5,4,25
1,1,64
19,8,75
15,3,89
16,10,1
8,11,47
2,6,87
5,16,23
17,17,42
4,10,84
15,11,5
14,20,42
13,19,43
6,10,28
5,9,24
20,16,19
12,11,41
2,14,7
4,19,10
9,2,6
15,14,30
5,20,31
11,1,25
18,20,42
18,17,17
12,11,92
17,14,71
10,13,10
13,20,100
1,12,42
3,16,65
2,15,27
19,2,5
1,9,48
13,16,32
4,2,47
19,10,1
17,14,100
12,8,48
